COUNTRY,STARTDATE,ENDATE,DEATHSFINAL,CIVILIANRATE,TAGS
Albania,9/1/39,8/31/45,30000,0,
Australia,9/1/39,8/31/45,39800,0,
Australia,9/1/39,8/31/45,700,1,
Austria,9/1/39,8/31/45,62500,1,
Austria,9/1/39,8/31/45,57500,1,holocaust-jewish
Belgium,9/1/39,8/31/45,12100,0,
Belgium,9/1/39,8/31/45,48900,1,
Belgium,9/1/39,8/31/45,27000,1,holocaust-jewish
Bulgaria,9/1/39,8/31/45,22000,0,
Bulgaria,9/1/39,8/31/45,3000,1,
Canada,9/1/39,8/31/45,45400,0,
China,9/1/39,8/31/45,3500000,0,
China,9/1/39,8/31/45,18191000,1,
Czechoslovakia,9/1/39,8/31/45,25000,0,
Czechoslovakia,9/1/39,8/31/45,222350,1,
Czechoslovakia,9/1/39,8/31/45,77650,1,holocaust-jewish
Denmark,9/1/39,8/31/45,2100,0,
Denmark,9/1/39,8/31/45,1012,1,
Denmark,9/1/39,8/31/45,88,1,holocaust-jewish
Estonia,9/1/39,8/31/45,48250,1,
Estonia,9/1/39,8/31/45,1750,1,holocaust-jewish
Ethiopia,9/1/39,8/31/45,5000,0,
Ethiopia,9/1/39,8/31/45,95000,1,
Finland,9/1/39,8/31/45,95000,0,
Finland,9/1/39,8/31/45,2000,1,
France,6/23/40,8/31/45,132600,0,
France,9/1/39,8/31/45,274000,1,
France,5/10/40,6/22/40,70000,0,invasion-germany
France,9/1/39,8/31/45,76000,1,holocaust-jewish
Germany,9/1/39,8/31/45,2161500,1,
Germany,9/1/39,9/30/39,15000,0,
Germany,10/1/39,10/31/39,3000,0,
Germany,11/1/39,11/30/39,1000,0,
Germany,1/1/40,1/31/40,2000,0,
Germany,3/1/40,3/31/40,5000,0,
Germany,4/1/40,4/30/40,3000,0,
Germany,5/1/40,5/31/40,21000,0,
Germany,6/1/40,6/30/40,29000,0,
Germany,7/1/40,7/31/40,7000,0,
Germany,8/1/40,8/31/40,4000,0,
Germany,9/1/40,9/30/40,4000,0,
Germany,10/1/40,10/31/40,5033,0,
Germany,11/1/40,11/30/40,1000,0,
Germany,12/1/40,12/31/40,2000,0,
Germany,1/1/41,1/31/41,10000,0,
Germany,2/1/41,2/28/41,1000,0,
Germany,3/1/41,3/31/41,4000,0,
Germany,4/1/41,4/30/41,4000,0,
Germany,5/1/41,5/31/41,13000,0,
Germany,6/1/41,6/30/41,29000,0,
Germany,7/1/41,7/31/41,67132,0,
Germany,8/1/41,8/31/41,51066,0,
Germany,9/1/41,9/30/41,53033,0,
Germany,10/1/41,10/31/41,44099,0,
Germany,11/1/41,11/30/41,38000,0,
Germany,12/1/41,12/31/41,42198,0,
Germany,1/1/42,1/31/42,53165,0,
Germany,2/1/42,2/28/42,52099,0,
Germany,3/1/42,3/31/42,46132,0,
Germany,4/1/42,4/30/42,24066,0,
Germany,5/1/42,5/31/42,44099,0,
Germany,6/1/42,6/30/42,34033,0,
Germany,7/1/42,7/31/42,46099,0,
Germany,8/1/42,8/31/42,74231,0,
Germany,9/1/42,9/30/42,46033,0,
Germany,10/1/42,10/31/42,30000,0,
Germany,11/1/42,11/30/42,38231,0,
Germany,12/1/42,12/31/42,83792,0,
Germany,1/1/43,1/31/43,185376,0,
Germany,2/1/43,2/28/43,74363,0,
Germany,3/1/43,3/31/43,59099,0,
Germany,4/1/43,4/30/43,21066,0,
Germany,5/1/43,5/31/43,31099,0,
Germany,6/1/43,6/30/43,21066,0,
Germany,7/1/43,7/31/43,79231,0,
Germany,8/1/43,8/31/43,66198,0,
Germany,9/1/43,9/30/43,69495,0,
Germany,10/1/43,10/31/43,61330,0,
Germany,11/1/43,11/30/43,77396,0,
Germany,12/1/43,12/31/43,66330,0,
Germany,1/1/44,1/31/44,81330,0,
Germany,2/1/44,2/29/44,91495,0,
Germany,3/1/44,3/31/44,112759,0,
Germany,4/1/44,4/30/44,92363,0,
Germany,5/1/44,5/31/44,78495,0,
Germany,6/1/44,6/30/44,182178,0,
Germany,7/1/44,7/31/44,215013,0,
Germany,8/1/44,8/31/44,348960,0,
Germany,9/1/44,9/30/44,151957,0,
Germany,10/1/44,10/31/44,184089,0,
Germany,11/1/44,11/30/44,103561,0,
Germany,12/1/44,12/31/44,159386,0,
Germany,1/1/45,1/31/45,451742,0,
Germany,2/1/45,2/28/45,294772,0,
Germany,3/1/45,3/31/45,284442,0,
Germany,4/1/45,4/30/45,281848,0,
Germany,5/1/45,5/31/45,94528,0,
Germany,6/1/45,6/30/45,20066,0,
Germany,7/1/45,7/31/45,13000,0,
Germany,8/1/45,8/31/45,27099,0,
Germany,4/28/45,4/28/45,375,1,air-firebomb
Germany,4/21/45,4/21/45,61,1,air-firebomb
Germany,4/20/45,4/20/45,127,1,air-firebomb
Germany,4/14/45,4/14/45,15,1,air-firebomb
Germany,4/10/45,4/10/45,74,1,air-firebomb
Germany,4/9/45,4/16/45,745,1,air-firebomb
Germany,4/6/45,4/6/45,30,1,air-firebomb
Germany,4/5/45,4/5/45,733,1,air-firebomb
Germany,4/4/45,4/4/45,52,1,air-firebomb
Germany,4/4/45,4/4/45,197,1,air-firebomb
Germany,3/27/45,3/27/45,110,1,air-firebomb
Germany,3/26/45,3/26/45,900,1,air-firebomb
Germany,3/22/45,3/22/45,36,1,air-firebomb
Germany,3/21/45,3/21/45,1500,1,air-firebomb
Germany,3/21/45,3/29/45,147,1,air-firebomb
Germany,3/18/45,3/18/45,2400,1,air-firebomb
Germany,3/16/45,3/16/45,517,1,air-firebomb
Germany,3/14/45,3/14/45,177,1,air-firebomb
Germany,3/13/45,3/13/45,500,1,air-firebomb
Germany,3/12/45,3/26/45,1547,1,air-firebomb
Germany,3/12/45,3/12/45,14000,1,air-firebomb
Germany,3/3/45,3/31/45,1550,1,air-firebomb
Germany,3/1/45,3/1/45,479,1,air-firebomb
Germany,3/1/45,3/1/45,197,1,air-firebomb
Germany,2/27/45,2/27/45,1200,1,air-firebomb
Germany,2/27/45,2/27/45,677,1,air-firebomb
Germany,2/24/45,2/24/45,56,1,air-firebomb
Germany,2/23/45,2/23/45,18938.5,1,air-firebomb
Germany,2/23/45,2/23/45,208,1,air-firebomb
Germany,2/23/45,2/23/45,700,1,air-firebomb
Germany,2/22/45,2/22/45,206,1,air-firebomb
Germany,2/22/45,2/22/45,250,1,air-firebomb
Germany,2/22/45,2/23/45,445,1,air-firebomb
Germany,2/22/45,2/23/45,387,1,air-firebomb
Germany,2/22/45,2/23/45,61,1,air-firebomb
Germany,2/22/45,2/23/45,500,1,air-firebomb
Germany,2/22/45,2/23/45,586,1,air-firebomb
Germany,2/22/45,2/23/45,172,1,air-firebomb
Germany,2/20/45,2/21/45,1356,1,air-firebomb
Germany,2/17/45,2/17/45,28,1,air-firebomb
Germany,2/13/45,2/15/45,23850,1,air-firebomb
Germany,2/12/45,2/12/45,68,1,air-firebomb
Germany,2/9/45,2/9/45,27,1,air-firebomb
Germany,1/16/45,1/16/45,2250,1,air-firebomb
Germany,1/15/45,1/15/45,50,1,air-firebomb
Germany,1/8/45,1/8/45,505,1,air-firebomb
Germany,1/2/45,1/2/45,1794,1,air-firebomb
Germany,1/1/45,1/1/45,47,1,air-firebomb
Germany,12/28/44,12/29/44,65,1,air-firebomb
Germany,12/22/44,12/22/44,154,1,air-firebomb
Germany,12/17/44,12/17/44,562,1,air-firebomb
Germany,12/17/44,12/17/44,707,1,air-firebomb
Germany,12/4/44,12/4/44,68.5,1,air-firebomb
Germany,12/4/44,12/4/44,6500,1,air-firebomb
Germany,11/27/44,11/27/44,2850,1,air-firebomb
Germany,11/25/44,11/26/44,65,1,air-firebomb
Germany,11/21/44,11/21/44,64,1,air-firebomb
Germany,11/16/44,11/16/44,3106,1,air-firebomb
Germany,11/6/44,11/6/44,109,1,air-firebomb
