DATE,SUMMARY,LAT,LON,DETAILED_INFORMATION
February_1938,German Anschluss with Austria?,48.208,16.372,Hitler went ahead with his plans to unify all German-speaking people. He annexed Austria then demanded the liberation of German people in the Sudetenland region of Czechoslovakia. Neville Chamberlain flew to Germany to attempt a settlement before war broke out.
September_1938,Treaty of Munich,48.137,11.575,Hitler, Chamberlain, Daladier of France and Mussolini of Italy met in Munich and agreed that Hitler should have the Sudetanland of Czechoslovakia. The Czechs were not represented at the meeting and realising that no country would come to their aid were forced to surrender the Sudetenland to Germany. Hitler assured those at the meeting that this was the extent of his ambitions for expansion. Chamberlain returned to England with a piece of paper signed by Hitler, proclaiming ‘peace in our time.’?
March_1939,Hitler invades Czechoslovakia,50.088,14.420,Despite the assurances given by Hitler in the Treaty of Munich (Sept 1938), he marched into Czechoslovakia and occupied the country.
March_1939/April_1939,Britain rearms and reassures Poland,52.229,21.011,Britain had begun re-arming and a highly secret radar early warning system was installed along the east coast. Conscription was introduced and assurances were given to Poland, who was being threatened by the Fuhrer.
August_1939,Russia and Germany sign pact?,52.524,13.41,Hitler and Stalin signed a non-aggression pact which included secret clauses for the division of Poland.
August_1939,Russia and Germany sign pact?,55.752,37.615,Hitler and Stalin signed a non-aggression pact which included secret clauses for the division of Poland.
September_1939,Hitler invades Poland,52.229,21.011,Adolf Hitler invaded Poland.
September_1939,Britain and France declare war on,51.508,-0.125,Britain and France declared war on Germany. Neville Chamberlain broadcast the announcement that the country was at war.
September_1939,Britain and France declare war on,48.853,2.348,Britain and France declared war on Germany. Neville Chamberlain broadcast the announcement that the country was at war.
September_1939/May_1940,‘Phoney War’,51.508,-0.125,The months following Britain’s declaration of war are referred to as the ‘phoney war’ because Britain saw no military action.
April_1940/May_1940,Hitler invades Denmark and Norway,55.675,12.565,Hitler invaded and occupied Denmark and Norway to safeguard supply routes of Swedish ore and also to establish a Norwegian base from which to break the British naval blockade on Germany.
April_1940/May_1940,Hitler invades Denmark and Norway,59.912,10.746,Hitler invaded and occupied Denmark and Norway to safeguard supply routes of Swedish ore and also to establish a Norwegian base from which to break the British naval blockade on Germany.
May_1940,Blitzkrieg,50.850,4.348,Hitler launched his blitzkrieg (lightning war) against Holland and Belgium. Rotterdam was bombed almost to extinction. Both countries were occupied.
May_1940,Blitzkrieg,52.374,4.889,Hitler launched his blitzkrieg (lightning war) against Holland and Belgium. Rotterdam was bombed almost to extinction. Both countries were occupied.
May_1940,Chamberlain resigns,51.508,-0.125,Neville Chamberlain resigned after pressure from Labour members for a more active prosecution of the war and Winston Churchill became the new head of the wartime coalition government. Chamberlain gave Churchill his unreserved support. Ernest Bevin was made minister of labour and recruited workers for the factories and stepped up coal production. Lord Beaverbrook, minister of Aircraft Production increased production of fighter aircraft.
May_1940,Dunkirk (Operation Dynamo),51.291,0.979,The British commander-in-chief, General Gort, had been forced to retreat to the coast at Dunkirk. The troops waited, under merciless fire, to be taken off the beaches. A call went out to all owners of sea-worthy vessels to travel to Dunkirk to take the troops off the beaches of Dunkirk. More than 338,000 men were rescued, among them some 140,000 French who would form the nucleus of the Free French army under a little known general, Charles de Gaulle.
June_1940,Italy enter war on side of Axis powers,41.891,12.511,Italy entered the war on the side of the Axis powers. Italy’s motive for entering the war was the hope of rich pickings from the spoils of war.?
June_1940,France signs armistice with Germany,48.853,2.348,The French, Marshall Petain, signed an armistice with Germany taking France, which had been devastated, out of the war and into German occupation.?
July_1940/October_1940,Battle of Britain,51.508,-0.125,The Battle of Britain comprised four phases: 1. During July Hitler sent his Luftwaffe bombers to attack British ports. His aim was also to assess the speed and quality of response by the RAF.? 2. During August the attacks on shipping continued but bombing raids were concentrated on RAF airfields. 3. The Blitz – From September 7th the city of London was heavily bombed. Hitler hoped to destroy the morale of the British people. 4. Night Bombing – With the failure of daylight bombing raids Hitler began a series of nightly bombing raids on London and other important industrial cities. The RAF defended the skies and by October 31 the raids had ceased.
September_1940,Tripartite Pact,35.689,139.691,This pact of mutual alliance was signed by Germany, Italy and Japan.
December_1940,British rout Italians in N. Africa,,,Italian forces in North Africa were routed by the British led by General Wavell.
March_1941,Italy and Germany attack Yugoslavia,44.804,20.465,German and Italian troops attacked Yugoslavia, Greece and the island of Crete. German field Marshall Erwin Rommel led the axis powers back to North Africa.
June_1941,Hitler attacks Russia – Operation Barbarossa,52.524,13.41,Hitler sent 3 million soldiers and 3,500 tanks into Russia. The Russians were taken by surprise as they had signed a treaty with Germany in 1939. Stalin immediately signed a mutual assistance treaty with Britain and launched an Eastern front battle that would claim 20 million casualties. The USA, which had been supplying arms to Britain under a ‘Lend-Lease’ agreement, offered similar aid to USSR.
December_1941,Pearl Harbor,,,The Japanese, who were already waging war against the Chinese, attacked the US pacific fleet at Pearl Harbour, Hawaii, as a preliminary to taking British, French and Dutch colonies in South East Asia.
December_1941,Britain and US declare war on Japan,,,Britain and the United States declared war on Japan.
February_1942,Japanese take Singapore,,,The Japanese captured Singapore from the British, taking some 60,000 prisoners.
June_1942,Battle of Midway,,,The USA defeated the Japanese navy at the Battle of Midway. Following this victory, the US navy was able to push the Japanese back.
August_1942,Allies in N. Africa,,,General Alexander was given a hand-written directive from Churchill ordering that his main directive was to be the destruction of the German-Italian army commanded by Field-Marshall Rommell together with all its supplies and establishments in Egypt and Libya. As soon as sufficient material had been built up, Alexander handed the campaign over to General Montgomery.
October_1942,Battle of El Alamein,,,Montgomery attacked the German-Italian army in North Africa with a massive bombardment followed by an armoured attack. He then proceeded to chase the routed enemy some 1500 miles across the desert.
November_1942,Battle of Stalingrad,48.719,44.501,The Russians won their first victory against Germany at the Battle of Stalingrad.
November_1942,Allies push into N. Africa,,,British and American forces under the command of General Dwight Eisenhower landed in the NW of Africa and assumed control of French Morocco and Algeria. They gradually closed in on the Germans.
May_1943,Axis surrender N Africa,,,The British and American forces managed to defeat the Axis forces in North Africa
July_1943,Allies invade Sicily,38.132,13.335,British and US forces invaded Sicily.
August_1943,Allies take Sicily,13.335,13.335,The allied troops had won the island of Sicily.
September_1943,Italy surrenders,41.891,12.511,Mussolini had been thrown out of office and the new government of Italy surrendered to the British and the USA. They then agreed to join the allies. The Germans took control of the Italian army, freed Mussolini from imprisonment and set him up as head of a puppet government in Northern Italy. This blocked any further allied advance through Italy.
November_1943,Allies meet at Tehran,,,"Stalin, Roosevelt and Churchill met to co-ordinate plans for a simultaneous squeeze on Germany. They also discussed post war settlements. Churchill mistrusted Stalin, Roosevelt anxious to show that the West would not stand against Russia, went along with Stalin’s wishes for a second front in France and no diversions further east. Churchill was over-ruled and the fate of post-war Eastern Europe was thus decided."
January_1944,Leningrad relieved,59.938,30.314,The siege of Leningrad was lifted by the Soviet army.
June_1944,Rome liberated,41.891,12.511,Although Italy had surrendered in September, it was only now that the allies were able to liberate Rome from the Germans.
June_1944,D-Day,49.379,0.171,The allies launched an attack on Germany’s forces in Normandy, Western France. Thousands of transports carried an invasion army under the supreme command of general Eisenhower to the Normandy beaches. The Germans who had been fed false information about a landing near Calais, rushed troops to the area but were unable to prevent the allies from forming a solid bridgehead. For the allies it was essential to first capture a port.
July_1944,Japanese evicted from Burma,,,British forces under General Slim, with help from guerrilla-fighting Chindits led by Orde Wingate, evicted the Japanese from Burma.
August_1944,Paris liberated,48.853,2.348,The French capital of Paris was liberated from the Germans.
September_1944,V2 Flying Bombs,51.508,-0.125,The first V2 flying bombs killed three people in London.
December_1944,Battle of the Bulge,50.850,4.348,Germany launched its final defensive through the Ardennes region of Belgium. However, they were beaten back by the allies.
March_1945,Allies cross the Rhine,49.257,4.054,The Allies crossed the Rhine while Soviet forces were approaching Berlin from the East.
April_1945,Death of Roosevelt,,,President Roosevelt died. He was succeeded by President Truman.
April_1945,Russians reach Berlin,52.524,13.41,The Russians reached Berlin shortly before the US forces.
April_1945,Mussolini captured and executed,,,Italian partisans captured Mussolini and executed him.
April_1945,Hitler commits suicide,52.524,13.41,The German leader, Adolf Hitler committed suicide in his bombproof shelter together with his mistress, Eva Braun, who he had, at the last minute, made his wife.
May_1945,German forces surrender,,,German forces in Italy surrendered to the Allies.
May_1945,German forces surrender,55.675,12.565,German forces in north west Germany, Holland and Denmark surrendered to Montgomery on Luneburg Heath. Admiral Donitz, whom Hitler had nominated as his successor, tried to reach agreement to surrender to the Western allies but to continue to fight the Russians. His request was refused.
May_1945,German forces surrender,59.912,10.746,German forces in north west Germany, Holland and Denmark surrendered to Montgomery on Luneburg Heath. Admiral Donitz, whom Hitler had nominated as his successor, tried to reach agreement to surrender to the Western allies but to continue to fight the Russians. His request was refused.
May_1945,Donitz offers unconditional surrender,52.524,13.41,Hitler’s successor, Admiral Donitz, offerred an unconditional surrender to the allies.
May_1945,V.E. day,52.524,13.41,Victory in Europe was celebrated.
